title,Sentimen
perdana akhirnya ri punya bbm bensin campuran tebu,positif
"dianggap tak guna, pemerintah diminta segera hapus dmo cpo",negatif
apa benar bumn maruk sikat semua proyek,negatif
"petani tebu juga bisa sukses kelola lahan, begini caranya",positif
pemilik warkop di pantura pemalang ungkap tarif prostitusi rp 50100 ribu,negatif
duduk perkara gubsu edy vs bobby soal karantina wni dari luar negeri,netral
"jalan penghubung tapselmadina putus, mobil tak bisa lewat",negatif
"soal ptpn iv regional iii di gugat, koppsam rapat dengan komisi ii dprd riau",netral
erick thohir di kejagung 70 persen dana pensiun sakit dirampok oknum biadab,negatif
"ada transformasi digital, penjualan via briapi naik 300",positif
"wah usai ptpn, erick ungkap indikasi korupsi krakatau steel",negatif
"digagas era sby dan dilanjutkan jokowi, food estate merauke ditanami paditebu",netral
apa kabar ipo palmco ini update terbaru dari wamen bumn,netral
rekomtek petani binaan ptpn iv palmco tembus 13 ribu hektare setahun  riau pos,positif
longsor yang putus akses ke ijen bondowoso terjadi di empat titik,negatif
"diduga tempat prostitusi, puluhan warkop di pantura pemalang dibongkar",negatif
"dividen bumn ke negara terkumpul rp 35,5 t, pertamina belum setor",negatif
ptpn iv regional iii bersama polri perkuat ketahanan pangan melalui budidaya jagung,positif
"kereta cepat jktbdg molor, biaya bengkak kini china minta pemerintah talangi",negatif
pupuk indonesia teken 2 kerja sama di konferensi internasional bumn,positif
"tiba dari taiwan, surya darmadi tersangka korupsi ditahan kejagung",negatif
erick thohir target ap i dan ii merger di februari 2024,netral
asosiasi petani tebu desak pemerintah beli gula petani rp 12.500 per kg,negatif
"kegiatan penanaman das desa batu gajah dapat perlawanan oknum, ptpn iv regional iii dikatakan siap bantu bibit",netral
ptpn iv palmco ekspor perdana 10.000 ton cpo bersertifikasi rspo ke eropa,positif
yuk melihat cara membuat cokelat di doesoen kakao banyuwangi,netral
"bocoran terbaru, menteri erick juga mau merger bumn ini",netral
"kisah rudolf eduard kerkhoven, juragan yang merintis teh gambung",netral
sejarah kota mati karawang yang jadi saksi bisu ambruknya orde baru,netral
ptpn iv palmco salurkan bantuan untuk korban banjir di rokan hulu,positif
camping embun sangat membantu warga perkebunan banyuwangi urus adminduk,positif
"menilik museum perkebunan indonesia ii sejarah, daya tarik, tiket masuk",netral
"dari pln hingga krakatau, 12 bumn siap disuntik sri mulyani",positif
puan maharani singgung kasus penyalahgunaan dapen bumn di paripurna,negatif
"jadi raja gula dunia, india ternyata pernah ngemis ke ri",netral
heboh mobil warga medan dibakar selingkuhan di langkat,negatif
"12 rekomendasi wisata lampung tengah, ada air terjun hingga bukit batu",netral
kota mati tommy soeharto di karawang dulunya buat tampung karyawan timor,netral
kemenhut jelaskan izin eiger adventure land di puncak bogor,netral
kronologi lengkap penemuan bungkusan pipajam di dekat denpom solo,netral
"waspada, 7 wilayah di kabupaten blitar rawan bencana",negatif
"kejar target dekarbonisasi, pupuk indonesia perkuat sinergi lintas bumn",positif
"amran gandeng erick thohir, kejar swasembada pangan dalam 4 tahun",netral
trik belanda tutupi kerusakan jalan di cipetir sukabumi,netral
"jokowi tambah 13 proyek strategis baru, ada yang di ikn",positif
partai gelora gugat pemilu serentak ke mk dpr tumpul awasi pemerintah,negatif
danantara bisa dorong hilirisasi sektor perkebunan,positif
holding bumn pangan fokus geber produksi gula tahun depan,positif
"puluhan warkop di pantura pemalang dibongkar, sejumlah psk positif hiv",negatif
"ada palmco, petani sawit pesan begini",netral
video gerak cepat ptpn iii wujudkan target swasembada gula ri 2028,positif
sensasi naik jip menyusuri indahnya perkebunan teh lereng gunung slamet brebes,netral
terpopuler kota mati ciptaan orba di dekat jakarta,netral
airlanggaerick thohir akan beri pengarahan saat harlah nu di palembang,netral
"sebelum lebaran, bangunan hibisc puncak harus sudah selesai dibongkar",netral
"ada abdee slank, ini daftar timseseks menteri jadi komisaris bumn",netral
lagi cari kerja cek deretan bumn ini lagi buka lowongan,positif
polres simalungun selesaikan 61 kasus pencurian sawit lewat restorative justice,positif
"dear pak erick, sudah dapat 2 wamen, ini 4 pr bumn kita",netral
"tni resmikan program pipanisasi di sukabumi, 600 hektare sawah terairi",netral
akhirnya harimau yang resahkan warga aceh timur berhasil masuk perangkap,positif
"jokowi habiskan rp3.000 t di 2022, apa hasilnya",netral
"dirut pln tanpa inovasi, energi hijau bisa bebani apbn",netral
"liga 2 dihentikan sementara, karo united matangkan kekuatan tim",netral
cerita proyek kereta cepat bengkak rp28 t sampai luhut turun,negatif
"ptpn iv regional 4 dan dprd jambi, kembangkan bisnis umkm",positif
angin segar buat korban banjir banyuwangi dapat bantuan dari bumn,positif
"pelni dan asdp bakal merger, masuk di bawah pelindo",netral
"harga sawit riau naik lagi, pekan ini rp 2.889kg",positif
ptpn klaim tuntutan warga soal pengembalian lahan di luwu timur ditolak ma,netral
pengacara jelaskan surat tanah garapan milik rocky gerung,netral
"konflik lahan ptpn di megamendung tuntas setelah 25 tahun, ini kuncinya",positif
tim unhcr diusir warga aceh tamiang saat cek lokasi penampungan rohingya,negatif
wisata kebun teh di probolinggo bisa dicoba saat libur tahun baru,netral
jabar hari ini penjaga masjid cabuli 13 bocahbandung gelombang kedua corona,negatif
menteri lh penyegelan tempat wisata sepanjang das ciliwung akan berlanjut,negatif
"harga gula di sumut turun, begini kata disperindag",positif
pegiat lingkungan ungkap penyebab banjir di lembang bandung barat,positif
penjelasan kemenkeu soal 39 pejabat rangkap jabatan komisaris bumn,netral
"harga sawit di riau turun akhir tahun, kini rp 2.621kg",negatif
jurus bumn bantu petani kopi lebih moncer,positif
"usai jiwasraya, erick tunggu audit bpk soal asabri  ptpn",negatif
jejak penjajahan belanda di priangan,negatif
ptpn iv regional iii bantu atasi persoalan sampah di pagaran tapah,positif
"diduga picu banjir, 4 tempat wisata di puncak bogor disegel",negatif
"balai pelestarian kebudayaan cek situs candi bata di batang, ini hasilnya",netral
"bumn keroyokan bikin mudik gratis, ini untungnya buat masyarakat",positif
pelindo 1 target petikemas  kargo 2021 tumbuh double digit,positif
erick thohir kerahkan bumn geber hilirisasi,netral
"holding perkebunan bumn restrukturisasi kredit rp 28,7 t",positif
kemenhub ungkap alasan konsesi kcic belum juga diperpanjang,netral
kisah noni belanda mandi di balik temuan yoni di asrama kodim klaten,netral
"kinerja moncer, 4 anak usaha ptpn iii siap melebur ke palm co",positif
"erick bikin holding pabrik gula sugarco, butuh duit rp 23 t",netral
3 keuntungan pabrik migor anak usaha bumn melantai di bursa,positif
janji erick thohir sikat habis mafia pupuk,negatif
daftar terbaru komisaris bumn yang resign usai masuk timses capres,netral
babat pohon berujung empat petani garut diproses hukum,negatif
7 anggota geng motor latihan fisik di deli serdang jadi tersangka,negatif
ptpn v regional 4 dan polda jambi tanam jagung bersama,positif
kagetnya menteri sofyan djalil diminta mundur saat perangi mafia tanah,negatif
"sudah 16 hari pensiunan ptpn v dibunuh, pelaku masih bebas berkeliaran",negatif
andre rosiade dukung erick thohir bongkar kasus dapen bumn,netral
"holding bumn targetkan swasembada gula, ini caranya",positif
warga di asahan demo kantor kebun sawit buntut puluhan lembu mati diduga diracun,negatif
pemandian ini sering dikunjungi sultan dan tamu luar negeri buat terapi,netral
"jokowi semprot ptpn soal lahan perusahaan as, ini lengkapnya",negatif
bom waktu dapen bumn,negatif
simak deretan bumn ini bakal bergabung jadi raksasa,positif
"tipu warga miliaran rupiah, pasutri di simalungun ditangkap",negatif
mengapa negara sulit kembalikan lahan masyarakat adat pantai raja yang berkonflik dengan ptpn v,negatif
dprd jatim desak bumn ikut tanggung jawab atas kerusuhan dusun baban jember,negatif
"brebes vs batang, berebut relokasi pabrikpabrik as di china",netral
"larang ekspor minyak goreng, ri balik lagi ke zaman voc",negatif
pertamina siapkan investasi us 18 miliar untuk energi baru terbarukan,positif
mimpi besar hadi kejar target 126 juta sertifikat tanah,positif
"kompak hengkang dari pdip, segini harta maruarar  budiman",netral
disperindag sumut prediksi harga gula tetap mahal hingga akhir tahun,negatif
jabar hari ini kota mati tommy soehartososok tuyul terkuak,netral
pupuk indonesia kolaborasi dengan tni adptpn optimalisasi lahan tidur,positif
"tak hanya cari cuan, holding bumn perkebunan juga fokus hal ini",positif
"polisi tangkap 5 ninja sawit di ptpn iv labusel, 2 pelaku ditembak",negatif
"jpu tak kunjung rampungkan tuntutan, sidang samsul tarigan ditunda 3 kali",negatif
"kurangi emisi, pupuk indonesia dukung pilot proyek perdagangan karbon",positif
palmco dukung agrinas akselerasi kemandirian pangan dan energi nasional  riau pos,positif
kedudukan penjaminan pemerintah dalam proyek infrastruktur,netral
gubernur riau puji program peremajaan sawit rakyat ptpn v,positif
transformasi kud tani sejahtera binaan ptpn v melalui digitalisasi,netral
respons pt jaswita jabar soal alih fungsi lahan di puncak bogor,netral
pemerintah gelar operasi pasar di 325 kantor pos jelang puasa,positif
inilah daftar 622 nama warga desa pangkalan baru yang digugat ptpn iv regional iii ke pn bangkinang,negatif
"bocor rancangan perpres swasembada gula bikin petani resah, apa isinya",negatif
erick thohir lapor ke jokowi 79 proyek strategis garapan bumn beres,positif
naik drastis harga sawit di riau pekan ini rp 2.865kg,positif
lima tim ptpn v adu inovasi planters innovation summit 2022,positif
ptpn iv palmco ekspor perdana 10.000 ton cpo bersertifikasi rspo,positif
"dpr soroti harga gula naik jelang ramadhan, ini sarannya",negatif
warning erick ke holding bumn pangan jangan cuma ganti logo,netral
"erick thohir warning bumn yang terdampak iranisrael, ini pesannya",netral
"hambat ekspor dan tekan harga sawit, petani minta pungutan levi 0",negatif
"menengok rs lavalette, rumah sakit legendaris di malang yang sarat sejarah",netral
"bukabukaan progres proyek strategis bumn, stafsus erick ada akuisisimerger",netral
kepala bpn bagibagi sertifikat tanah buat korban banjir di bogor,positif
"barata tambah daftar bumn yang punya utang segunung, tembus rp 3,47 t",negatif
"yayasan riau madani kecam dprd kampar, tegaskan gugatan kebun sawit ptpn v seluas 2.823 ha di kawasan hutan tak terkait klaim persukuan piliang",negatif
erick thohir ungkap 4 sektor kuncian indonesia kalau mau maju,positif
komisi vi dpr soroti bumn dilipat biar kelihatan yang rugi sedikit,negatif
"dari belanda, erick ingatkan pertamina soal bbm, apa itu",netral
ptpn v dukung peningkatan kualitas pendidikan pesantren tertua di dumai,positif
"daftar 15 cagar budaya nasional 2022, ada gedung bank indonesia",netral
"jokowi pamer minyak makan merah, lebih murah dan enak dari minyak goreng",positif
"palmco siap ipo tahun ini, pahala mansury ungkap alasannya",netral
polda jambi jelaskan duduk perkara pemeriksaan dahlan iskan,netral
"erick thohir sempat mau beli peternakan di luar negeri, jadi",netral
"pertamina nambah bioetanol 10 di 2026, pasokan cukup",netral
holding bumn perkebunan buka suara soal mantan pejabat jadi tersangka kpk,netral
ptpn i regional 4 buka suara terkait bareskrim usut korupsi rp 871 m,negatif
palmco bisa jadi senjata ampuh jaga pasokan minyak goreng,positif
"tingkatkan ketahanan pangan, kostrad tanam jagungkakao di tasikmalaya",positif
habib rizieq analogikan artis disambut penggemar terkait kasusnya,netral
kpk diminta usut dana kredit petani rp140 miliar di ptpn iv regional iii,negatif
ptpn iv regional iii kapalkan 10.000 ton cpo bersertifikasi rspo sg ke eropa,positif
respons pt jaswita jabar usai hibisc fantasy dibongkar,netral
ranca upas dibuka lagi untuk wisatawan,positif
wamen bukabukaan jurus selamatkan kinerja bumn yang sekarat,negatif
survei lsi 60 publik nilai korupsi di ri naik 2 tahun terakhir,negatif
"dulu pernah rugi rp 1,14 t, tahun ini ptpn bidik laba rp 3,9 t",positif
tiga warga jember tewas usai pesta miras oplosan,negatif
tangisan gubernur dedi melihat carut marut puncak bogor,negatif
"penyelamatan ekonomi jokowi, bumn ini bakal disuntik rp 152 t",netral
ptpn mau tambah 59.000 hektare lahan sawit,positif
melihat pabrik gula bagong di surabaya yang dulu jaya kini terbengkalai,negatif
ptpn v salurkan beasiswa kepada pelajar dan mahasiswa,positif
"erick thohir temui jaksa agung, bahas temuan dana pensiun rugi",negatif
teten klaim chef juna puji kualitas minyak makan merah,positif
"kemendag tak bisa sendirian kendalikan minyak goreng, perlu libatkan bumn",netral
upaya tangani longsor yang putus akses bandung baratcianjur,netral
"100 hari kerja prabowogibran, menteri erick pamer kontribusi bumn",positif
"100 hari prabowogibran, kementerian bumn fokus dua hal ini",netral
kejagung tetapkan surya darmadi dan eks bupati inhu jadi tersangka korupsi,negatif
"ptpn v produksi cpo capai 253,53 ribu ton pada semester i 2023",positif
jaksa ungkap dirut pt ppi sempat pertanyakan impor gula era tom lembong,netral
"video ada perang dagang as, kawasan industri di ri ketiban berkah",netral
kisahkisah mistis pabrik karet tjipetir di sukabumi,netral
"tekan impor, ri gandeng qatar kerja sama garap industri susu lokal",positif
"balik modal ditarget 38 tahun, kcic minta konsesi kereta cepat 80 tahun",netral
snapshots penampakan pipajam mencurigakan di dekat denpom solo,negatif
"usai habisi korban, supir pensiunan ptpn v bawa kabur mobil dan uang rp104 juta",negatif
bareskrim geledah kantor ptpn i surabaya terkait korupsi pg asem bagus,negatif
"komitmen keberlanjutan standar internasional, ptpn iv regional iii 100 persen rspo",positif
tragis deni gosong tersengat listrik saat panjat sutet demi konten,negatif
"jadi dewan pakar tkn prabowogibran, budiman sudjatmiko mundur dari komisaris bumn",netral
"video banjir di puncak, gubernur jabar sindir ptpn ganti saja jadi pt pariwisata",negatif
operasi pasar besarbesaran mau digelar demi stabilkan harga pangan,netral
"sempat ditutup, ranca upas buka lagi buat wisatawan",positif
ada kisah menyeramkan di balik pembangunan rumah peninggalan meneer belanda,negatif
ibc gandeng ptpninka geber penggunaan baterai  motor listrik,positif
kuasa hukum koperasi bmt bantah pengurus gelapkan uang anggota,netral
erick thohir pamer  capaian 100 hari kerja kementerian bumn,netral
pemprov riau dukung bumn program kemandirian pangan lewat tanam padi gogo di siak,positif
"usai viral jual tbs ke luar, pihak kebun terantam ptpn iv cekal akses media",positif
"tak capai target, ketua satgas anggaran pen baru kepakai 70",negatif
6 kunci sukses berhasilnya transformasi di holding perkebunan,positif
ceo ptpn v  terimakasih telah berjuang bersama raih kemenangan,positif
petani lampung keluhkan rendahnya harga sawit kepada mendag zulhas,negatif
erick thohir buka alasan ipo phe dan palmco,netral
jabar hari ini herry dituntut hukuman matipembunuh remaja geng motor ditangkap,netral
ptpn vsemen padang kerja sama manfaatkan biomassa tandan kosong sawit,positif
gubernur khofifah tetapkan tanggap darurat banjir bandang ijen bondowoso,negatif
"terkesan sekongkol tutupi bobrok karyawan menejer kebun terantam, bungkam saat dikonfirmasi oleh wartawan",negatif
"industri gula ditarget 1,2 juta kltahun bioetanol untuk tekan impor minyak",positif
"gelar rapat kerja, komite ii dpd ri soroti banyaknya bumn yang merugi",negatif
"kinerja meningkat, ptpn v raih pendapatan rp8,46 triliun pada 2022",positif
"dedi iskandar soroti jalan rusak di sekitar perkebunan, singgung soal regulasi",negatif
"kota lama surabaya segera launching, simak sederet fasilitasnya di sini",positif
terungkap ar hasibuan ternyata sepupu dari mayor dedi,netral
pisang cavendish dari lahan 100 hektare di bone ditarget panen juni 2024,positif
"tak terima digoyang, mafia tanah serang balik menteri sofyan djalil",negatif
senangnya petani sawit di kampar dapat dana talangan rp 1 m,positif
terungkap ini penyebab karutmarut sawit makin kusut,negatif
propernas nusa dua tekan backlog di sumut dengan bangun kota mandiri bekala,positif
39 pejabat di kemenkeu rangkap jabatan jadi komisaris bumnswasta,netral
caci maki ke jokowi bikin remaja di riau ditangkap polisi,negatif
ini profil 4 bumn yang siap ipo tertarik beli nggak,netral
"kejagung ungkap perusahaan hantu kelola lahan, surat nihil",negatif
"ini deretan produsen gula di ri, sugar co bakal terbesar",netral
tiga bumn sinergi garap cofiring di 52 lokasi pltu,positif
duduk perkara 4 petani garut diadili gegara babat pohon versi jaksa,negatif
"pelajar di sergai tewas ditembak, polisi selidiki pelaku",negatif
"mulyadi tewas, penyidikan kasus pembunuhan wiwin disetop polisi",netral
"nilainya bengkak jadi rp 113 t, proyek kereta cepat jktbdg bakal diaudit",negatif
"bos ptpn ingatkan stok gula ngeringeri sedap, waspadai harga meroket",netral
"jokowi makin senang, 17 pabrik china antre mau pindah ke ri",positif
"tipu warga rp 55 juta modus loloskan kerja di ptpn, asn di sergai ditangkap",negatif
siapsiap penyeleweng dana dapen rp 300 m bakal kena pidana,negatif
tempat peristirahatan terakhir bosscha yang masih terjaga,netral
bos ptpn iii targetkan swasembada gula konsumsi di 2028,positif
rapim tni ad bahas pesan prabowo soal ketahanan panganbatalion kesehatan,netral
"erick thohir tutup 3 bumn zombie, 4 lagi bakal menyusul",negatif
"tak digaji berbulanbulan, petani sawit di riau gelar aksi cap darah",negatif
ri bakal kebanjiran 215.000 ton gula kristal putih dari thailandaustralia,netral
pencari madu di banyuwangi tewas tersengat tawon dan jatuh dari pohon,positif
sugar co bakal jadi raksasa produsen gula terbesar ri,positif
jumlah karyawan yang kena imbas pembongkaran hibisc fantasy,netral
"audiensi bersama gubernur riau, ini yang disampaikan dirut ptpn v",positif
5 fakta ngerinya kecelakaan beruntun di subang,negatif
"bank mandiri bmri gandeng ptpn iii, salurkan kur untuk petani",netral
"harga sawit di labuhanbatu naik pengaruhi angka pencurian, kenapa",netral
"jadi tempat syuting ftv, ini kebun strawberry tersembunyi di bandung",netral
